id,name,gender,job_family,job_title,job_level,education,tenure_months,annual_salary,performance_rating
EMP001,Employee_1,Female,Commercial,Key Account Mgr,N3,PhD,39,45343,3.3
EMP002,Employee_2,Male,Operations,Planner,N3,Master,82,53694,3.7
EMP003,Employee_3,Female,Finance,Controller,N4,Bachelor,38,78074,3.7
EMP004,Employee_4,Female,HR,HR Manager,N5,Master,113,120806,3.2
EMP005,Employee_5,Male,Commercial,Lead Generator,N1,Bachelor,57,20259,3.0
EMP006,Employee_6,Male,Commercial,Sales Supervisor,N4,Bachelor,26,78586,4.3
EMP007,Employee_7,Male,Finance,VP Finance,N7,PhD,111,261182,4.1
EMP008,Employee_8,Male,Operations,Warehouse Op,N1,Bachelor,85,19357,4.2
EMP009,Employee_9,Male,IT,Sr Developer,N3,High School,50,52289,4.6
EMP010,Employee_10,Female,Legal,Associate,N3,PhD,12,54366,4.2
EMP011,Employee_11,Female,Finance,Finance Manager,N5,High School,11,119183,2.7
EMP012,Employee_12,Male,Operations,Planner,N3,Bachelor,14,48624,3.9
EMP013,Employee_13,Female,Legal,Legal Director,N6,Master,91,171466,3.7
EMP014,Employee_14,Male,Operations,Warehouse Op,N1,Bachelor,5,19464,4.9
EMP015,Employee_15,Male,Commercial,Sales Rep,N2,High School,97,22400,2.6
EMP016,Employee_16,Female,Commercial,Sales Supervisor,N4,Master,17,73539,4.8
EMP017,Employee_17,Female,Operations,Plant Supervisor,N4,Bachelor,33,80922,4.8
EMP018,Employee_18,Female,HR,HR Assistant,N1,Bachelor,1,20881,2.5
EMP019,Employee_19,Female,Finance,Sr Accountant,N3,High School,117,53347,4.9
EMP020,Employee_20,Male,Commercial,Key Account Mgr,N3,Master,44,48005,3.3
EMP021,Employee_21,Female,Finance,Billing Clerk,N1,High School,39,20728,4.4
EMP022,Employee_22,Female,IT,Jr Developer,N2,Master,80,29867,2.1
EMP023,Employee_23,Female,HR,Recruiter,N2,Bachelor,91,34139,3.8
EMP024,Employee_24,Male,IT,Jr Developer,N2,Bachelor,110,32545,3.7
EMP025,Employee_25,Female,HR,HRBP,N4,Bachelor,69,78738,2.0
EMP026,Employee_26,Female,Legal,Sr Counsel,N4,Bachelor,45,77630,3.8
EMP027,Employee_27,Male,Commercial,Sales Rep,N2,Bachelor,118,28748,1.7
EMP028,Employee_28,Male,IT,Tech Lead,N4,Bachelor,56,80984,4.3
EMP029,Employee_29,Female,Legal,Legal Assistant,N1,Bachelor,34,20869,4.6
EMP030,Employee_30,Male,HR,HR Assistant,N1,Master,90,22642,3.3
EMP031,Employee_31,Male,HR,HR Manager,N5,Master,28,113818,1.3
EMP032,Employee_32,Male,Operations,Planner,N3,PhD,36,53103,1.6
EMP033,Employee_33,Male,Commercial,Sales Rep,N2,Bachelor,1,32025,2.6
EMP034,Employee_34,Female,HR,Recruiter,N2,Bachelor,56,30352,2.5
